customer_ID,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
37,no checking,48,critical,education,6110.0,less than 100,less than 4 years,1,male,none,3.0,no known property,31,bank,for free,1,skilled,1.0,yes,yes,good
37,no checking,48,other existing credit,education,6110.0,less than 100,less than 4 years,1,male,none,3.0,no known property,31,bank,for free,1,skilled,1.0,yes,yes,good
38,more than 200,18,existing paid,radio/tv,2100.0,less than 100,less than 4 years,4,male,co applicant,2.0,real estate,37,stores,own,1,skilled,1.0,none,yes,bad
39,more than 200,10,existing paid,domestic appliance,1225.0,less than 100,less than 4 years,2,male,none,2.0,car,37,none,own,1,skilled,1.0,yes,yes,good
40,less than 200,9,existing paid,radio/tv,458.0,less than 100,less than 4 years,4,male,none,3.0,real estate,24,none,own,1,skilled,1.0,none,yes,good
41,no checking,30,existing paid,radio/tv,2333.0,500<=Xless than 1000,more than 7 years,4,male,none,2.0,car,30,bank,own,1,high qualif/self emp/mgmt,1.0,none,yes,good
42,less than 200,12,existing paid,radio/tv,1158.0,500<=Xless than 1000,less than 4 years,3,male,none,1.0,car,26,none,own,1,skilled,1.0,yes,yes,good
43,less than 200,18,delayed previously,repairs,6204.0,less than 100,less than 4 years,2,male,none,4.0,real estate,44,none,own,1,unskilled resident,2.0,yes,yes,good
44,0,30,critical,used car,6187.0,less than 500,less than 7 years,1,male,none,4.0,car,24,none,rent,2,skilled,1.0,none,yes,good
44,0,30,other existing credit,used car,6187.0,less than 500,less than 7 years,1,male,none,4.0,car,24,none,rent,2,skilled,1.0,none,yes,good
45,0,48,critical,used car,6143.0,less than 100,more than 7 years,4,female,none,4.0,no known property,58,stores,for free,2,unskilled resident,1.0,none,yes,bad
45,0,48,other existing credit,used car,6143.0,less than 100,more than 7 years,4,female,none,4.0,no known property,58,stores,for free,2,unskilled resident,1.0,none,yes,bad
46,no checking,11,critical,new car,1393.0,less than 100,less than a year,4,female,none,4.0,car,35,none,own,2,high qualif/self emp/mgmt,1.0,none,yes,good
46,no checking,11,other existing credit,new car,1393.0,less than 100,less than a year,4,female,none,4.0,car,35,none,own,2,high qualif/self emp/mgmt,1.0,none,yes,good
47,no checking,36,existing paid,radio/tv,2299.0,500<=Xless than 1000,more than 7 years,4,male,none,4.0,car,39,none,own,1,skilled,1.0,none,yes,good
48,0,6,existing paid,used car,1352.0,500<=Xless than 1000,unemployed,1,female,none,2.0,life insurance,23,none,rent,1,unemp/unskilled non res,1.0,yes,yes,good
49,no checking,11,critical,new car,7228.0,less than 100,less than 4 years,1,male,none,4.0,life insurance,39,none,own,2,unskilled resident,1.0,none,yes,good
49,no checking,11,other existing credit,new car,7228.0,less than 100,less than 4 years,1,male,none,4.0,life insurance,39,none,own,2,unskilled resident,1.0,none,yes,good
50,no checking,12,existing paid,radio/tv,2073.0,less than 500,less than 4 years,4,female,co applicant,2.0,real estate,28,none,own,1,skilled,1.0,none,yes,good
51,less than 200,24,delayed previously,furniture/equipment,2333.0,no known savings,less than a year,4,male,none,2.0,life insurance,29,bank,own,1,unskilled resident,1.0,none,yes,good
52,less than 200,27,delayed previously,used car,5965.0,less than 100,more than 7 years,1,male,none,2.0,car,30,none,own,2,high qualif/self emp/mgmt,1.0,yes,yes,good
53,no checking,12,existing paid,radio/tv,1262.0,less than 100,less than 4 years,3,male,none,2.0,car,25,none,own,1,skilled,1.0,none,yes,good
54,no checking,18,existing paid,used car,3378.0,no known savings,less than 4 years,2,male,none,1.0,life insurance,31,none,own,1,skilled,1.0,yes,yes,good
55,less than 200,36,delayed previously,new car,2225.0,less than 100,more than 7 years,4,male,none,4.0,no known property,57,bank,for free,2,skilled,1.0,yes,yes,bad
56,no checking,6,all paid,new car,783.0,no known savings,less than 4 years,1,male,guarantor,2.0,real estate,26,stores,own,1,unskilled resident,2.0,none,yes,good
57,less than 200,12,existing paid,radio/tv,6468.0,no known savings,unemployed,2,male,none,1.0,no known property,52,none,own,1,high qualif/self emp/mgmt,1.0,yes,yes,bad
58,no checking,36,critical,radio/tv,9566.0,less than 100,less than 4 years,2,female,none,2.0,car,31,stores,own,2,skilled,1.0,none,yes,good
58,no checking,36,other existing credit,radio/tv,9566.0,less than 100,less than 4 years,2,female,none,2.0,car,31,stores,own,2,skilled,1.0,none,yes,good
59,more than 200,18,existing paid,new car,1961.0,less than 100,more than 7 years,3,female,none,2.0,car,23,none,own,1,high qualif/self emp/mgmt,1.0,none,yes,good
60,0,36,critical,furniture/equipment,6229.0,less than 100,less than a year,4,female,co applicant,4.0,no known property,23,none,rent,2,unskilled resident,1.0,yes,yes,bad
60,0,36,other existing credit,furniture/equipment,6229.0,less than 100,less than a year,4,female,co applicant,4.0,no known property,23,none,rent,2,unskilled resident,1.0,yes,yes,bad
61,less than 200,9,existing paid,business,1391.0,less than 100,less than 4 years,2,male,none,1.0,real estate,27,bank,own,1,skilled,1.0,yes,yes,good
62,less than 200,15,critical,radio/tv,1537.0,no known savings,more than 7 years,4,male,guarantor,4.0,real estate,50,none,own,2,skilled,1.0,yes,yes,good
62,less than 200,15,other existing credit,radio/tv,1537.0,no known savings,more than 7 years,4,male,guarantor,4.0,real estate,50,none,own,2,skilled,1.0,yes,yes,good
63,less than 200,36,no credits,business,1953.0,less than 100,more than 7 years,4,male,none,4.0,no known property,61,none,for free,1,high qualif/self emp/mgmt,1.0,yes,yes,bad
63,less than 200,36,all paid,business,1953.0,less than 100,more than 7 years,4,male,none,4.0,no known property,61,none,for free,1,high qualif/self emp/mgmt,1.0,yes,yes,bad
64,less than 200,48,no credits,business,14421.0,less than 100,less than 4 years,2,male,none,2.0,car,25,none,own,1,skilled,1.0,yes,yes,bad
64,less than 200,48,all paid,business,14421.0,less than 100,less than 4 years,2,male,none,2.0,car,25,none,own,1,skilled,1.0,yes,yes,bad
65,no checking,24,existing paid,radio/tv,3181.0,less than 100,less than a year,4,female,none,4.0,life insurance,26,none,own,1,skilled,1.0,yes,yes,good
66,no checking,27,existing paid,repairs,5190.0,no known savings,more than 7 years,4,male,none,4.0,life insurance,48,none,own,4,skilled,2.0,yes,yes,good
67,no checking,12,existing paid,radio/tv,2171.0,less than 100,less than a year,2,female,none,2.0,car,29,bank,own,1,skilled,1.0,none,yes,good
68,less than 200,12,existing paid,new car,1007.0,more than 1000,less than 4 years,4,male,none,1.0,real estate,22,none,own,1,skilled,1.0,none,yes,good
69,no checking,36,existing paid,education,1819.0,less than 100,less than 4 years,4,male,none,4.0,no known property,37,stores,for free,1,skilled,1.0,yes,yes,bad
70,no checking,36,existing paid,radio/tv,2394.0,no known savings,less than 4 years,4,female,none,4.0,car,25,none,own,1,skilled,1.0,none,yes,good
71,no checking,36,existing paid,used car,8133.0,less than 100,less than 4 years,1,female,none,2.0,life insurance,30,bank,own,1,skilled,1.0,none,yes,good
72,no checking,7,critical,radio/tv,730.0,no known savings,more than 7 years,4,male,none,2.0,life insurance,46,none,rent,2,unskilled resident,1.0,yes,yes,good
72,no checking,7,other existing credit,radio/tv,730.0,no known savings,more than 7 years,4,male,none,2.0,life insurance,46,none,rent,2,unskilled resident,1.0,yes,yes,good
73,0,8,critical,other,1164.0,less than 100,more than 7 years,3,male,none,4.0,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2.0,yes,yes,good
73,0,8,other existing credit,other,1164.0,less than 100,more than 7 years,3,male,none,4.0,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2.0,yes,yes,good
74,less than 200,42,critical,business,5954.0,less than 100,less than 7 years,2,female,none,1.0,real estate,41,bank,own,2,unskilled resident,1.0,none,yes,good
74,less than 200,42,other existing credit,business,5954.0,less than 100,less than 7 years,2,female,none,1.0,real estate,41,bank,own,2,unskilled resident,1.0,none,yes,good
75,0,36,existing paid,education,1977.0,no known savings,more than 7 years,4,male,none,4.0,no known property,40,none,own,1,high qualif/self emp/mgmt,1.0,yes,yes,bad
76,0,12,critical,used car,1526.0,less than 100,more than 7 years,4,male,none,4.0,no known property,66,none,for free,2,high qualif/self emp/mgmt,1.0,none,yes,good
76,0,12,other existing credit,used car,1526.0,less than 100,more than 7 years,4,male,none,4.0,no known property,66,none,for free,2,high qualif/self emp/mgmt,1.0,none,yes,good
77,0,42,existing paid,radio/tv,3965.0,less than 100,less than a year,4,male,none,3.0,car,34,none,own,1,skilled,1.0,none,yes,bad
78,less than 200,11,delayed previously,radio/tv,4771.0,less than 100,less than 7 years,2,male,none,4.0,life insurance,51,none,own,1,skilled,1.0,none,yes,good
79,no checking,54,no credits,used car,9436.0,no known savings,less than 4 years,2,male,none,2.0,life insurance,39,none,own,1,unskilled resident,2.0,none,yes,good
79,no checking,54,all paid,used car,9436.0,no known savings,less than 4 years,2,male,none,2.0,life insurance,39,none,own,1,unskilled resident,2.0,none,yes,good
80,less than 200,30,existing paid,furniture/equipment,3832.0,less than 100,less than a year,2,male,none,1.0,life insurance,22,none,own,1,skilled,1.0,none,yes,good
81,no checking,24,existing paid,radio/tv,5943.0,no known savings,less than a year,1,female,none,1.0,car,44,none,own,2,skilled,1.0,yes,yes,bad
82,no checking,15,existing paid,radio/tv,1213.0,500<=Xless than 1000,more than 7 years,4,male,none,3.0,life insurance,47,stores,own,1,skilled,1.0,yes,yes,good
83,no checking,18,existing paid,business,1568.0,less than 500,less than 4 years,3,female,none,4.0,life insurance,24,none,rent,1,unskilled resident,1.0,none,yes,good
84,0,24,existing paid,other,1755.0,less than 100,more than 7 years,4,female,guarantor,4.0,real estate,58,none,own,1,unskilled resident,1.0,yes,yes,good
85,0,10,existing paid,radio/tv,2315.0,less than 100,more than 7 years,3,male,none,4.0,real estate,52,none,own,1,unskilled resident,1.0,none,yes,good
86,no checking,12,critical,business,1412.0,less than 100,less than 4 years,4,female,guarantor,2.0,real estate,29,none,own,2,high qualif/self emp/mgmt,1.0,yes,yes,good
86,no checking,12,other existing credit,business,1412.0,less than 100,less than 4 years,4,female,guarantor,2.0,real estate,29,none,own,2,high qualif/self emp/mgmt,1.0,yes,yes,good
87,less than 200,18,critical,furniture/equipment,1295.0,less than 100,less than a year,4,female,none,1.0,life insurance,27,none,own,2,skilled,1.0,none,yes,good
87,less than 200,18,other existing credit,furniture/equipment,1295.0,less than 100,less than a year,4,female,none,1.0,life insurance,27,none,own,2,skilled,1.0,none,yes,good
88,less than 200,36,existing paid,education,12612.0,less than 500,less than 4 years,1,male,none,4.0,no known property,47,none,for free,1,skilled,2.0,yes,yes,bad
89,0,18,existing paid,new car,2249.0,less than 500,less than 7 years,4,male,none,3.0,car,30,none,own,1,high qualif/self emp/mgmt,2.0,yes,yes,good
90,0,12,no credits,repairs,1108.0,less than 100,less than 7 years,4,male,none,3.0,real estate,28,none,own,2,skilled,1.0,none,yes,bad
90,0,12,all paid,repairs,1108.0,less than 100,less than 7 years,4,male,none,3.0,real estate,28,none,own,2,skilled,1.0,none,yes,bad
91,no checking,12,critical,radio/tv,618.0,less than 100,more than 7 years,4,male,none,4.0,real estate,56,none,own,1,skilled,1.0,none,yes,good
91,no checking,12,other existing credit,radio/tv,618.0,less than 100,more than 7 years,4,male,none,4.0,real estate,56,none,own,1,skilled,1.0,none,yes,good
92,0,12,critical,used car,1409.0,less than 100,more than 7 years,4,male,none,3.0,real estate,54,none,own,1,skilled,1.0,none,yes,good
92,0,12,other existing credit,used car,1409.0,less than 100,more than 7 years,4,male,none,3.0,real estate,54,none,own,1,skilled,1.0,none,yes,good
93,no checking,12,critical,radio/tv,797.0,no known savings,more than 7 years,4,female,none,3.0,life insurance,33,bank,own,1,unskilled resident,2.0,none,yes,bad
93,no checking,12,other existing credit,radio/tv,797.0,no known savings,more than 7 years,4,female,none,3.0,life insurance,33,bank,own,1,unskilled resident,2.0,none,yes,bad
94,more than 200,24,critical,furniture/equipment,3617.0,no known savings,more than 7 years,4,male,co applicant,4.0,no known property,20,none,rent,2,skilled,1.0,none,yes,good
94,more than 200,24,other existing credit,furniture/equipment,3617.0,no known savings,more than 7 years,4,male,co applicant,4.0,no known property,20,none,rent,2,skilled,1.0,none,yes,good
95,less than 200,12,existing paid,new car,1318.0,more than 1000,more than 7 years,4,male,none,4.0,real estate,54,none,own,1,skilled,1.0,yes,yes,good
96,less than 200,54,no credits,business,15945.0,less than 100,less than a year,3,male,none,4.0,no known property,58,none,rent,1,skilled,1.0,yes,yes,bad
96,less than 200,54,all paid,business,15945.0,less than 100,less than a year,3,male,none,4.0,no known property,58,none,rent,1,skilled,1.0,yes,yes,bad
97,no checking,12,critical,education,2012.0,no known savings,less than 7 years,4,female,none,2.0,car,61,none,own,1,skilled,1.0,none,yes,good
97,no checking,12,other existing credit,education,2012.0,no known savings,less than 7 years,4,female,none,2.0,car,61,none,own,1,skilled,1.0,none,yes,good
98,less than 200,18,existing paid,business,2622.0,less than 500,less than 4 years,4,male,none,4.0,car,34,none,own,1,skilled,1.0,none,yes,good
99,less than 200,36,critical,radio/tv,2337.0,less than 100,more than 7 years,4,male,none,4.0,real estate,36,none,own,1,skilled,1.0,none,yes,good
99,less than 200,36,other existing credit,radio/tv,2337.0,less than 100,more than 7 years,4,male,none,4.0,real estate,36,none,own,1,skilled,1.0,none,yes,good
100,less than 200,20,delayed previously,used car,7057.0,no known savings,less than 7 years,3,male,none,4.0,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2.0,yes,yes,good
101,no checking,24,existing paid,new car,1469.0,less than 500,more than 7 years,4,male,none,4.0,real estate,41,none,rent,1,unskilled resident,1.0,none,yes,good
102,less than 200,36,existing paid,radio/tv,2323.0,less than 100,less than 7 years,4,male,none,4.0,car,24,none,rent,1,skilled,1.0,none,yes,good
103,no checking,6,delayed previously,radio/tv,932.0,less than 100,less than 4 years,3,female,none,2.0,real estate,24,none,own,1,skilled,1.0,none,yes,good
104,less than 200,9,critical,furniture/equipment,1919.0,less than 100,less than 7 years,4,male,none,3.0,car,35,none,rent,1,skilled,1.0,yes,yes,good
104,less than 200,9,other existing credit,furniture/equipment,1919.0,less than 100,less than 7 years,4,male,none,3.0,car,35,none,rent,1,skilled,1.0,yes,yes,good
105,no checking,12,existing paid,used car,2445.0,no known savings,less than a year,2,male,none,4.0,car,26,none,rent,1,skilled,1.0,yes,yes,good
106,less than 200,24,critical,other,11938.0,less than 100,less than 4 years,2,male,co applicant,3.0,car,39,none,own,2,high qualif/self emp/mgmt,2.0,yes,yes,bad
106,less than 200,24,other existing credit,other,11938.0,less than 100,less than 4 years,2,male,co applicant,3.0,car,39,none,own,2,high qualif/self emp/mgmt,2.0,yes,yes,bad
107,no checking,18,all paid,new car,6458.0,less than 100,more than 7 years,2,male,none,4.0,no known property,39,bank,own,2,high qualif/self emp/mgmt,2.0,yes,yes,bad
108,less than 200,12,existing paid,new car,6078.0,less than 100,less than 7 years,2,male,none,2.0,car,32,none,own,1,skilled,1.0,none,yes,good
109,0,24,existing paid,furniture/equipment,7721.0,no known savings,less than a year,1,female,none,2.0,life insurance,30,none,own,1,skilled,1.0,yes,no,good
110,less than 200,14,existing paid,business,1410.0,500<=Xless than 1000,more than 7 years,1,male,none,2.0,real estate,35,none,own,1,skilled,1.0,yes,yes,good
111,less than 200,6,delayed previously,business,1449.0,less than 500,more than 7 years,1,male,none,2.0,car,31,bank,own,2,skilled,2.0,none,yes,good
112,more than 200,15,existing paid,education,392.0,less than 100,less than a year,4,female,none,4.0,life insurance,23,none,rent,1,skilled,1.0,yes,yes,good
113,less than 200,18,existing paid,new car,6260.0,less than 100,less than 7 years,3,male,none,3.0,real estate,28,none,rent,1,unskilled resident,1.0,none,yes,good
114,no checking,36,critical,new car,7855.0,less than 100,less than 4 years,4,female,none,2.0,real estate,25,stores,own,2,skilled,1.0,yes,yes,bad
114,no checking,36,other existing credit,new car,7855.0,less than 100,less than 4 years,4,female,none,2.0,real estate,25,stores,own,2,skilled,1.0,yes,yes,bad
115,0,12,existing paid,radio/tv,1680.0,500<=Xless than 1000,more than 7 years,3,male,none,1.0,real estate,35,none,own,1,skilled,1.0,none,yes,good
116,no checking,48,critical,radio/tv,3578.0,no known savings,more than 7 years,4,male,none,1.0,real estate,47,none,own,1,skilled,1.0,yes,yes,good
116,no checking,48,other existing credit,radio/tv,3578.0,no known savings,more than 7 years,4,male,none,1.0,real estate,47,none,own,1,skilled,1.0,yes,yes,good
117,0,42,existing paid,radio/tv,7174.0,no known savings,less than 7 years,4,female,none,3.0,car,30,none,own,1,high qualif/self emp/mgmt,1.0,yes,yes,bad
118,0,10,critical,furniture/equipment,2132.0,no known savings,less than a year,2,female,co applicant,3.0,real estate,27,none,rent,2,skilled,1.0,none,no,good
118,0,10,other existing credit,furniture/equipment,2132.0,no known savings,less than a year,2,female,co applicant,3.0,real estate,27,none,rent,2,skilled,1.0,none,no,good
119,0,33,critical,furniture/equipment,4281.0,500<=Xless than 1000,less than 4 years,1,female,none,4.0,car,23,none,own,2,skilled,1.0,none,yes,bad
119,0,33,other existing credit,furniture/equipment,4281.0,500<=Xless than 1000,less than 4 years,1,female,none,4.0,car,23,none,own,2,skilled,1.0,none,yes,bad
120,less than 200,12,critical,new car,2366.0,500<=Xless than 1000,less than 7 years,3,male,none,3.0,car,36,none,own,1,high qualif/self emp/mgmt,1.0,yes,yes,good
120,less than 200,12,other existing credit,new car,2366.0,500<=Xless than 1000,less than 7 years,3,male,none,3.0,car,36,none,own,1,high qualif/self emp/mgmt,1.0,yes,yes,good
121,0,21,existing paid,radio/tv,1835.0,less than 100,less than 4 years,3,female,none,2.0,real estate,25,none,own,2,skilled,1.0,yes,yes,bad
122,no checking,24,critical,used car,3868.0,less than 100,more than 7 years,4,female,none,2.0,car,41,none,rent,2,high qualif/self emp/mgmt,1.0,yes,yes,good
122,no checking,24,other existing credit,used car,3868.0,less than 100,more than 7 years,4,female,none,2.0,car,41,none,rent,2,high qualif/self emp/mgmt,1.0,yes,yes,good
123,no checking,12,existing paid,furniture/equipment,1768.0,less than 100,less than 4 years,3,male,none,2.0,real estate,24,none,rent,1,unskilled resident,1.0,none,yes,good
124,more than 200,10,critical,new car,781.0,less than 100,more than 7 years,4,male,none,4.0,no known property,63,none,for free,2,skilled,1.0,yes,yes,good
124,more than 200,10,other existing credit,new car,781.0,less than 100,more than 7 years,4,male,none,4.0,no known property,63,none,for free,2,skilled,1.0,yes,yes,good
125,less than 200,18,existing paid,furniture/equipment,1924.0,no known savings,less than a year,4,female,none,3.0,real estate,27,none,rent,1,skilled,1.0,none,yes,bad
126,0,12,critical,new car,2121.0,less than 100,less than 4 years,4,male,none,2.0,life insurance,30,none,own,2,skilled,1.0,none,yes,good
126,0,12,other existing credit,new car,2121.0,less than 100,less than 4 years,4,male,none,2.0,life insurance,30,none,own,2,skilled,1.0,none,yes,good
127,0,12,existing paid,radio/tv,701.0,less than 100,less than 4 years,4,male,none,2.0,real estate,40,none,own,1,unskilled resident,1.0,none,yes,good
128,less than 200,12,existing paid,repairs,639.0,less than 100,less than 4 years,4,male,none,2.0,car,30,none,own,1,skilled,1.0,none,yes,bad
129,less than 200,12,critical,used car,1860.0,less than 100,unemployed,4,male,none,2.0,car,34,none,own,2,high qualif/self emp/mgmt,1.0,yes,yes,good
129,less than 200,12,other existing credit,used car,1860.0,less than 100,unemployed,4,male,none,2.0,car,34,none,own,2,high qualif/self emp/mgmt,1.0,yes,yes,good
130,0,12,critical,new car,3499.0,less than 100,less than 4 years,3,female,co applicant,2.0,real estate,29,none,own,2,skilled,1.0,none,yes,bad
130,0,12,other existing credit,new car,3499.0,less than 100,less than 4 years,3,female,co applicant,2.0,real estate,29,none,own,2,skilled,1.0,none,yes,bad
131,less than 200,48,existing paid,new car,8487.0,no known savings,less than 7 years,1,female,none,2.0,car,24,none,own,1,skilled,1.0,none,yes,good
132,0,36,delayed previously,education,6887.0,less than 100,less than 4 years,4,male,none,3.0,life insurance,29,stores,own,1,skilled,1.0,yes,yes,bad
133,no checking,15,existing paid,furniture/equipment,2708.0,less than 100,less than a year,2,male,none,3.0,life insurance,27,bank,own,2,unskilled resident,1.0,none,yes,good
134,no checking,18,existing paid,furniture/equipment,1984.0,less than 100,less than 4 years,4,male,none,4.0,no known property,47,bank,for free,2,skilled,1.0,none,yes,good
135,no checking,60,existing paid,radio/tv,10144.0,less than 500,less than 7 years,2,female,none,4.0,real estate,21,none,own,1,skilled,1.0,yes,yes,good
